"ItemID";"Item_name";"quantity";"item_price";"description";"discount";"Order_ID";"Review_ID";"UserID"
64;"Smart Device";2;18;"A smart device for home automation.";"8";104;204;3
65;"Accessory Z";6;22;"An essential accessory for everyday use.";"12";105;205;3
66;"Handy Tool";4;17;"A handy tool for DIY projects.";"7";106;206;1
67;"Fashion Item";7;21;"A trendy fashion item for style enthusiasts.";"11";107;207;1
68;"Outdoor Gear";5;19;"Durable outdoor gear for adventurous activities.";"9";108;208;1
69;"Creative Artifact";3;16;"A creative artifact for artistic minds.";"6";109;209;1
70;"Everyday Essential";9;24;"An everyday essential for modern living.";"14";110;210;1
71;"Widget X";5;20;"A high-quality widget for various uses.";"10";101;201;5
72;"Gadget Y";3;15;"The latest gadget with advanced features.";"5";102;202;5
73;"Tech Gizmo";8;25;"A cutting-edge tech gizmo with futuristic design.";"15";103;203;5
74;"Smart Device";2;18;"A smart device for home automation.";"8";104;204;5
75;"Accessory Z";6;22;"An essential accessory for everyday use.";"12";105;205;5
76;"Handy Tool";4;17;"A handy tool for DIY projects.";"7";106;206;5
77;"Fashion Item";7;21;"A trendy fashion item for style enthusiasts.";"11";107;207;8
78;"Outdoor Gear";5;19;"Durable outdoor gear for adventurous activities.";"9";108;208;8
79;"Creative Artifact";3;16;"A creative artifact for artistic minds.";"6";109;209;8
80;"Everyday Essential";9;24;"An everyday essential for modern living.";"14";110;210;8
81;"Widget X";5;20;"A high-quality widget for various uses.";"10";101;201;8
82;"Gadget Y";3;15;"The latest gadget with advanced features.";"5";102;202;8
83;"Tech Gizmo";8;25;"A cutting-edge tech gizmo with futuristic design.";"15";103;203;8
84;"Smart Device";2;18;"A smart device for home automation.";"8";104;204;30
85;"Accessory Z";6;22;"An essential accessory for everyday use.";"12";105;205;30
86;"Handy Tool";4;17;"A handy tool for DIY projects.";"7";106;206;10
87;"Fashion Item";7;21;"A trendy fashion item for style enthusiasts.";"11";107;207;10
88;"Outdoor Gear";5;19;"Durable outdoor gear for adventurous activities.";"9";108;208;10
89;"Creative Artifact";3;16;"A creative artifact for artistic minds.";"6";109;209;10
90;"Everyday Essential";9;24;"An everyday essential for modern living.";"14";110;210;10
